Task,Class,Procrustes_Dist,Num_Samples
2,0,0.250946,500
2,1,0.212477,500
2,2,0.197180,500
2,3,0.261637,500
2,4,0.299167,500
2,5,0.187502,500
2,6,0.240314,500
2,7,0.250837,500
2,8,0.256264,500
2,9,0.271614,500
3,0,0.284757,500
3,1,0.255348,500
3,2,0.231121,500
3,3,0.310025,500
3,4,0.327209,500
3,5,0.212829,500
3,6,0.266682,500
3,7,0.291621,500
3,8,0.292288,500
3,9,0.293419,500
4,0,0.321197,500
4,1,0.293751,500
4,2,0.277641,500
4,3,0.363362,500
4,4,0.373020,500
4,5,0.258282,500
4,6,0.322639,500
4,7,0.327871,500
4,8,0.329942,500
4,9,0.327260,500
5,0,0.337441,500
5,1,0.328217,500
5,2,0.316799,500
5,3,0.403954,500
5,4,0.363849,500
5,5,0.287131,500
5,6,0.352506,500
5,7,0.367802,500
5,8,0.357425,500
5,9,0.350478,500
6,0,0.357230,500
6,1,0.337678,500
6,2,0.330790,500
6,3,0.424658,500
6,4,0.377712,500
6,5,0.294710,500
6,6,0.356023,500
6,7,0.379069,500
6,8,0.372717,500
6,9,0.365178,500
7,0,0.395457,500
7,1,0.351839,500
7,2,0.356396,500
7,3,0.436261,500
7,4,0.414620,500
7,5,0.324815,500
7,6,0.381839,500
7,7,0.402372,500
7,8,0.400822,500
7,9,0.392753,500
8,0,0.364275,500
8,1,0.329228,500
8,2,0.334989,500
8,3,0.421303,500
8,4,0.395167,500
8,5,0.309008,500
8,6,0.358974,500
8,7,0.379673,500
8,8,0.380047,500
8,9,0.383924,500
9,0,0.356593,500
9,1,0.336030,500
9,2,0.342687,500
9,3,0.428361,500
9,4,0.403566,500
9,5,0.311104,500
9,6,0.370498,500
9,7,0.393348,500
9,8,0.391891,500
9,9,0.378552,500
10,0,0.367699,500
10,1,0.334561,500
10,2,0.329353,500
10,3,0.415948,500
10,4,0.416667,500
10,5,0.310763,500
10,6,0.366894,500
10,7,0.380973,500
10,8,0.386595,500
10,9,0.364886,500
