Task,Class,Procrustes_Dist,Num_Samples
2,0,0.102192,47
2,1,0.098715,50
2,2,0.116707,51
2,3,0.107565,48
2,4,0.084787,50
2,5,0.095569,52
2,6,0.094878,44
2,7,0.089490,45
2,8,0.071968,45
2,9,0.086470,47
3,0,0.175691,47
3,1,0.145818,50
3,2,0.162388,51
3,3,0.138135,48
3,4,0.133510,50
3,5,0.145440,52
3,6,0.150723,44
3,7,0.156194,45
3,8,0.122765,45
3,9,0.124428,47
4,0,0.162076,47
4,1,0.138601,50
4,2,0.171489,51
4,3,0.135610,48
4,4,0.135028,50
4,5,0.136864,52
4,6,0.140495,44
4,7,0.156954,45
4,8,0.125964,45
4,9,0.130001,47
5,0,0.153421,47
5,1,0.136703,50
5,2,0.166760,51
5,3,0.133163,48
5,4,0.134971,50
5,5,0.141173,52
5,6,0.145319,44
5,7,0.129331,45
5,8,0.123000,45
5,9,0.132113,47
6,0,0.178957,47
6,1,0.157213,50
6,2,0.178552,51
6,3,0.160445,48
6,4,0.148191,50
6,5,0.169217,52
6,6,0.152958,44
6,7,0.154754,45
6,8,0.145958,45
6,9,0.144773,47
7,0,0.198606,47
7,1,0.191101,50
7,2,0.191155,51
7,3,0.183958,48
7,4,0.160790,50
7,5,0.188380,52
7,6,0.165673,44
7,7,0.186212,45
7,8,0.162619,45
7,9,0.160623,47
8,0,0.241346,47
8,1,0.233593,50
8,2,0.234303,51
8,3,0.224530,48
8,4,0.200895,50
8,5,0.231135,52
8,6,0.198022,44
8,7,0.247605,45
8,8,0.193714,45
8,9,0.178283,47
9,0,0.245108,47
9,1,0.236393,50
9,2,0.227758,51
9,3,0.217943,48
9,4,0.198386,50
9,5,0.222488,52
9,6,0.193311,44
9,7,0.222498,45
9,8,0.194079,45
9,9,0.193221,47
10,0,0.234777,47
10,1,0.210901,50
10,2,0.209079,51
10,3,0.199693,48
10,4,0.189740,50
10,5,0.205575,52
10,6,0.182933,44
10,7,0.194724,45
10,8,0.187188,45
10,9,0.183156,47
11,0,0.232151,47
11,1,0.199621,50
11,2,0.209869,51
11,3,0.201179,48
11,4,0.182542,50
11,5,0.196272,52
11,6,0.176566,44
11,7,0.188974,45
11,8,0.183830,45
11,9,0.167870,47
12,0,0.239945,47
12,1,0.223280,50
12,2,0.217672,51
12,3,0.212596,48
12,4,0.193937,50
12,5,0.213040,52
12,6,0.193714,44
12,7,0.211866,45
12,8,0.184880,45
12,9,0.182015,47
13,0,0.238358,47
13,1,0.187753,50
13,2,0.209576,51
13,3,0.208677,48
13,4,0.189416,50
13,5,0.204406,52
13,6,0.189916,44
13,7,0.187724,45
13,8,0.182136,45
13,9,0.181382,47
14,0,0.237369,47
14,1,0.197467,50
14,2,0.216993,51
14,3,0.200180,48
14,4,0.194711,50
14,5,0.213289,52
14,6,0.198076,44
14,7,0.198806,45
14,8,0.183750,45
14,9,0.182976,47
15,0,0.231516,47
15,1,0.186924,50
15,2,0.216704,51
15,3,0.201043,48
15,4,0.182355,50
15,5,0.210070,52
15,6,0.186168,44
15,7,0.202424,45
15,8,0.183694,45
15,9,0.182104,47
16,0,0.236015,47
16,1,0.207893,50
16,2,0.233399,51
16,3,0.220827,48
16,4,0.203677,50
16,5,0.228085,52
16,6,0.193801,44
16,7,0.246652,45
16,8,0.193101,45
16,9,0.194147,47
17,0,0.253554,47
17,1,0.253753,50
17,2,0.260212,51
17,3,0.258059,48
17,4,0.219285,50
17,5,0.266524,52
17,6,0.222441,44
17,7,0.265365,45
17,8,0.203287,45
17,9,0.199149,47
18,0,0.228323,47
18,1,0.217204,50
18,2,0.229260,51
18,3,0.215599,48
18,4,0.193508,50
18,5,0.234022,52
18,6,0.198780,44
18,7,0.231867,45
18,8,0.190873,45
18,9,0.190285,47
19,0,0.224095,47
19,1,0.212143,50
19,2,0.226612,51
19,3,0.211505,48
19,4,0.187509,50
19,5,0.229684,52
19,6,0.206456,44
19,7,0.214940,45
19,8,0.193873,45
19,9,0.187204,47
20,0,0.235266,47
20,1,0.232180,50
20,2,0.229296,51
20,3,0.217854,48
20,4,0.204938,50
20,5,0.239041,52
20,6,0.205324,44
20,7,0.227076,45
20,8,0.196593,45
20,9,0.190509,47
