Task,Class,Procrustes_Dist,Num_Samples
2,0,0.163802,500
2,1,0.158652,500
2,2,0.184217,500
2,3,0.177566,500
2,4,0.208029,500
2,5,0.196887,500
2,6,0.148379,500
2,7,0.155007,500
2,8,0.237800,500
2,9,0.179524,500
3,0,0.227186,500
3,1,0.218650,500
3,2,0.251027,500
3,3,0.226501,500
3,4,0.264945,500
3,5,0.255878,500
3,6,0.206792,500
3,7,0.209260,500
3,8,0.304972,500
3,9,0.235034,500
4,0,0.233615,500
4,1,0.218950,500
4,2,0.255074,500
4,3,0.226089,500
4,4,0.261815,500
4,5,0.256460,500
4,6,0.209595,500
4,7,0.210803,500
4,8,0.302928,500
4,9,0.237651,500
5,0,0.271048,500
5,1,0.244450,500
5,2,0.287777,500
5,3,0.246982,500
5,4,0.286087,500
5,5,0.289524,500
5,6,0.236997,500
5,7,0.236059,500
5,8,0.338322,500
5,9,0.266756,500
6,0,0.282899,500
6,1,0.260556,500
6,2,0.300726,500
6,3,0.257540,500
6,4,0.294066,500
6,5,0.305870,500
6,6,0.248409,500
6,7,0.246748,500
6,8,0.353439,500
6,9,0.278499,500
7,0,0.292277,500
7,1,0.276526,500
7,2,0.320558,500
7,3,0.273291,500
7,4,0.316344,500
7,5,0.319421,500
7,6,0.260839,500
7,7,0.259557,500
7,8,0.368684,500
7,9,0.290641,500
8,0,0.319953,500
8,1,0.301487,500
8,2,0.343856,500
8,3,0.285579,500
8,4,0.332437,500
8,5,0.336039,500
8,6,0.290968,500
8,7,0.290047,500
8,8,0.387405,500
8,9,0.310436,500
9,0,0.309464,500
9,1,0.289772,500
9,2,0.327718,500
9,3,0.273365,500
9,4,0.322568,500
9,5,0.319896,500
9,6,0.281532,500
9,7,0.280952,500
9,8,0.368793,500
9,9,0.295308,500
10,0,0.318730,500
10,1,0.302186,500
10,2,0.339116,500
10,3,0.286460,500
10,4,0.337770,500
10,5,0.334734,500
10,6,0.288545,500
10,7,0.292585,500
10,8,0.383229,500
10,9,0.308556,500
