Task,Class,Procrustes_Dist,Num_Samples
2,0,0.072802,51
2,1,0.072728,39
2,2,0.040202,46
2,3,0.073139,52
2,4,0.051650,49
2,5,0.073454,48
2,6,0.031169,32
2,7,0.042123,47
2,8,0.069581,49
2,9,0.053878,49
3,0,0.108965,51
3,1,0.106507,39
3,2,0.059439,46
3,3,0.109924,52
3,4,0.079597,49
3,5,0.113242,48
3,6,0.052962,32
3,7,0.084318,47
3,8,0.086732,49
3,9,0.079577,49
4,0,0.129587,51
4,1,0.131376,39
4,2,0.084274,46
4,3,0.124999,52
4,4,0.100161,49
4,5,0.132018,48
4,6,0.071603,32
4,7,0.121210,47
4,8,0.104338,49
4,9,0.102733,49
5,0,0.160120,51
5,1,0.143373,39
5,2,0.090359,46
5,3,0.130225,52
5,4,0.113132,49
5,5,0.141658,48
5,6,0.085510,32
5,7,0.142844,47
5,8,0.115110,49
5,9,0.117568,49
6,0,0.179761,51
6,1,0.150354,39
6,2,0.098222,46
6,3,0.138083,52
6,4,0.123200,49
6,5,0.158449,48
6,6,0.092800,32
6,7,0.157350,47
6,8,0.123593,49
6,9,0.125232,49
7,0,0.198239,51
7,1,0.158952,39
7,2,0.107154,46
7,3,0.151333,52
7,4,0.133514,49
7,5,0.175347,48
7,6,0.104533,32
7,7,0.182310,47
7,8,0.140034,49
7,9,0.137713,49
8,0,0.203077,51
8,1,0.158233,39
8,2,0.105512,46
8,3,0.153048,52
8,4,0.135789,49
8,5,0.178788,48
8,6,0.101900,32
8,7,0.123591,47
8,8,0.142526,49
8,9,0.141909,49
9,0,0.198994,51
9,1,0.157188,39
9,2,0.108617,46
9,3,0.149388,52
9,4,0.132117,49
9,5,0.174706,48
9,6,0.105954,32
9,7,0.134510,47
9,8,0.140940,49
9,9,0.141311,49
10,0,0.194577,51
10,1,0.149179,39
10,2,0.103742,46
10,3,0.143921,52
10,4,0.129384,49
10,5,0.170500,48
10,6,0.102383,32
10,7,0.131423,47
10,8,0.136776,49
10,9,0.140594,49
11,0,0.199461,51
11,1,0.152864,39
11,2,0.105652,46
11,3,0.149972,52
11,4,0.133035,49
11,5,0.175827,48
11,6,0.107267,32
11,7,0.137782,47
11,8,0.140224,49
11,9,0.143863,49
12,0,0.203608,51
12,1,0.156057,39
12,2,0.104548,46
12,3,0.154253,52
12,4,0.135963,49
12,5,0.179056,48
12,6,0.109534,32
12,7,0.139382,47
12,8,0.142514,49
12,9,0.146444,49
13,0,0.204705,51
13,1,0.156575,39
13,2,0.106043,46
13,3,0.155866,52
13,4,0.136079,49
13,5,0.180020,48
13,6,0.112445,32
13,7,0.144273,47
13,8,0.146312,49
13,9,0.146738,49
14,0,0.200261,51
14,1,0.152590,39
14,2,0.100797,46
14,3,0.148877,52
14,4,0.133435,49
14,5,0.176526,48
14,6,0.103233,32
14,7,0.136149,47
14,8,0.141525,49
14,9,0.143068,49
15,0,0.201968,51
15,1,0.153975,39
15,2,0.102364,46
15,3,0.150409,52
15,4,0.135237,49
15,5,0.178347,48
15,6,0.106997,32
15,7,0.145502,47
15,8,0.148861,49
15,9,0.143920,49
16,0,0.201273,51
16,1,0.151771,39
16,2,0.101786,46
16,3,0.147045,52
16,4,0.132747,49
16,5,0.177544,48
16,6,0.105038,32
16,7,0.142693,47
16,8,0.148308,49
16,9,0.142213,49
17,0,0.189715,51
17,1,0.139960,39
17,2,0.096455,46
17,3,0.132834,52
17,4,0.121170,49
17,5,0.164860,48
17,6,0.096637,32
17,7,0.127846,47
17,8,0.138345,49
17,9,0.131482,49
18,0,0.207250,51
18,1,0.147748,39
18,2,0.106422,46
18,3,0.148013,52
18,4,0.131425,49
18,5,0.178707,48
18,6,0.103285,32
18,7,0.133868,47
18,8,0.154107,49
18,9,0.139297,49
19,0,0.212230,51
19,1,0.153308,39
19,2,0.111815,46
19,3,0.151318,52
19,4,0.135472,49
19,5,0.181873,48
19,6,0.112068,32
19,7,0.139973,47
19,8,0.159585,49
19,9,0.144287,49
20,0,0.211631,51
20,1,0.151849,39
20,2,0.112219,46
20,3,0.150221,52
20,4,0.137411,49
20,5,0.180940,48
20,6,0.112923,32
20,7,0.142115,47
20,8,0.160331,49
20,9,0.146422,49
