Task,Class,Procrustes_Dist,Num_Samples
2,0,0.150073,500
2,1,0.132812,500
2,2,0.123988,500
2,3,0.132031,500
2,4,0.144986,500
2,5,0.117872,500
2,6,0.145870,500
2,7,0.137208,500
2,8,0.149676,500
2,9,0.137182,500
3,0,0.255373,500
3,1,0.225238,500
3,2,0.211435,500
3,3,0.228574,500
3,4,0.234091,500
3,5,0.199475,500
3,6,0.239556,500
3,7,0.231634,500
3,8,0.249199,500
3,9,0.226461,500
4,0,0.298303,500
4,1,0.262880,500
4,2,0.251560,500
4,3,0.267920,500
4,4,0.276339,500
4,5,0.237612,500
4,6,0.277392,500
4,7,0.270881,500
4,8,0.284610,500
4,9,0.260980,500
5,0,0.307361,500
5,1,0.260055,500
5,2,0.253342,500
5,3,0.272943,500
5,4,0.267698,500
5,5,0.241430,500
5,6,0.283906,500
5,7,0.276442,500
5,8,0.285070,500
5,9,0.266629,500
6,0,0.349317,500
6,1,0.296759,500
6,2,0.302775,500
6,3,0.314039,500
6,4,0.297325,500
6,5,0.276496,500
6,6,0.321568,500
6,7,0.324427,500
6,8,0.329710,500
6,9,0.293956,500
7,0,0.375420,500
7,1,0.313672,500
7,2,0.332283,500
7,3,0.337858,500
7,4,0.316687,500
7,5,0.303358,500
7,6,0.341497,500
7,7,0.350073,500
7,8,0.349772,500
7,9,0.314203,500
8,0,0.373430,500
8,1,0.316415,500
8,2,0.336651,500
8,3,0.341068,500
8,4,0.313169,500
8,5,0.308912,500
8,6,0.341489,500
8,7,0.353158,500
8,8,0.349847,500
8,9,0.312290,500
9,0,0.351271,500
9,1,0.299809,500
9,2,0.318469,500
9,3,0.320844,500
9,4,0.298933,500
9,5,0.297000,500
9,6,0.317723,500
9,7,0.334442,500
9,8,0.425057,500
9,9,0.297410,500
10,0,0.341587,500
10,1,0.443616,500
10,2,0.385717,500
10,3,0.497227,500
10,4,0.497016,500
10,5,0.296072,500
10,6,0.315365,500
10,7,0.354402,500
10,8,0.466762,500
10,9,0.444134,500
