Task,Class,Procrustes_Dist,Num_Samples
2,0,0.098882,40
2,1,0.080112,46
2,2,0.104953,45
2,3,0.052356,52
2,4,0.156661,35
2,5,0.129386,32
2,6,0.097919,44
2,7,0.067903,42
2,8,0.078855,48
2,9,0.115591,48
3,0,0.158088,40
3,1,0.115345,46
3,2,0.140079,45
3,3,0.080062,52
3,4,0.253927,35
3,5,0.233668,32
3,6,0.165448,44
3,7,0.123263,42
3,8,0.154547,48
3,9,0.129918,48
4,0,0.182013,40
4,1,0.135994,46
4,2,0.159832,45
4,3,0.115050,52
4,4,0.272222,35
4,5,0.241538,32
4,6,0.192377,44
4,7,0.138241,42
4,8,0.198093,48
4,9,0.132320,48
5,0,0.193214,40
5,1,0.201538,46
5,2,0.189318,45
5,3,0.154947,52
5,4,0.282790,35
5,5,0.281854,32
5,6,0.239548,44
5,7,0.157471,42
5,8,0.240098,48
5,9,0.288708,48
6,0,0.207566,40
6,1,0.234020,46
6,2,0.207925,45
6,3,0.171816,52
6,4,0.279772,35
6,5,0.282154,32
6,6,0.243322,44
6,7,0.172133,42
6,8,0.249978,48
6,9,0.307633,48
7,0,0.269166,40
7,1,0.268142,46
7,2,0.228228,45
7,3,0.190844,52
7,4,0.278561,35
7,5,0.304007,32
7,6,0.279896,44
7,7,0.184925,42
7,8,0.272430,48
7,9,0.323795,48
8,0,0.277573,40
8,1,0.283603,46
8,2,0.302588,45
8,3,0.220477,52
8,4,0.298880,35
8,5,0.316876,32
8,6,0.300797,44
8,7,0.216022,42
8,8,0.275058,48
8,9,0.335964,48
9,0,0.262312,40
9,1,0.269708,46
9,2,0.297329,45
9,3,0.215875,52
9,4,0.294707,35
9,5,0.313540,32
9,6,0.298561,44
9,7,0.208116,42
9,8,0.313609,48
9,9,0.335814,48
10,0,0.280691,40
10,1,0.297747,46
10,2,0.297214,45
10,3,0.225616,52
10,4,0.291393,35
10,5,0.309964,32
10,6,0.309838,44
10,7,0.215373,42
10,8,0.327020,48
10,9,0.353523,48
11,0,0.282360,40
11,1,0.272727,46
11,2,0.297219,45
11,3,0.203945,52
11,4,0.267283,35
11,5,0.296279,32
11,6,0.291938,44
11,7,0.203811,42
11,8,0.293149,48
11,9,0.351778,48
12,0,0.289067,40
12,1,0.282491,46
12,2,0.281421,45
12,3,0.215782,52
12,4,0.287408,35
12,5,0.303274,32
12,6,0.304659,44
12,7,0.207312,42
12,8,0.309487,48
12,9,0.362922,48
13,0,0.269166,40
13,1,0.338503,46
13,2,0.290865,45
13,3,0.232493,52
13,4,0.292910,35
13,5,0.318159,32
13,6,0.352094,44
13,7,0.275495,42
13,8,0.326442,48
13,9,0.424419,48
14,0,0.272152,40
14,1,0.336686,46
14,2,0.283642,45
14,3,0.228906,52
14,4,0.285708,35
14,5,0.311999,32
14,6,0.347761,44
14,7,0.265195,42
14,8,0.317994,48
14,9,0.419684,48
15,0,0.260287,40
15,1,0.332880,46
15,2,0.276399,45
15,3,0.223408,52
15,4,0.270314,35
15,5,0.319613,32
15,6,0.342346,44
15,7,0.283809,42
15,8,0.316004,48
15,9,0.441568,48
16,0,0.257105,40
16,1,0.328124,46
16,2,0.272364,45
16,3,0.221904,52
16,4,0.259575,35
16,5,0.320399,32
16,6,0.334606,44
16,7,0.286640,42
16,8,0.306382,48
16,9,0.444456,48
17,0,0.258091,40
17,1,0.329107,46
17,2,0.272834,45
17,3,0.221614,52
17,4,0.265952,35
17,5,0.319744,32
17,6,0.340085,44
17,7,0.283194,42
17,8,0.311216,48
17,9,0.439541,48
18,0,0.258396,40
18,1,0.329461,46
18,2,0.270323,45
18,3,0.218902,52
18,4,0.255508,35
18,5,0.320840,32
18,6,0.332340,44
18,7,0.288930,42
18,8,0.302810,48
18,9,0.445231,48
19,0,0.259913,40
19,1,0.329403,46
19,2,0.272225,45
19,3,0.219241,52
19,4,0.262989,35
19,5,0.321549,32
19,6,0.338214,44
19,7,0.284887,42
19,8,0.304704,48
19,9,0.440568,48
20,0,0.261959,40
20,1,0.329726,46
20,2,0.271114,45
20,3,0.219589,52
20,4,0.259003,35
20,5,0.319822,32
20,6,0.334682,44
20,7,0.285364,42
20,8,0.299811,48
20,9,0.436685,48
